_id,OCCUPANCY_DATE,ORGANIZATION_ID,ORGANIZATION_NAME,SHELTER_ID,SHELTER_GROUP,LOCATION_ID,LOCATION_NAME,LOCATION_ADDRESS,LOCATION_POSTAL_CODE,LOCATION_CITY,LOCATION_PROVINCE,PROGRAM_ID,PROGRAM_NAME,SECTOR,PROGRAM_MODEL,OVERNIGHT_SERVICE_TYPE,PROGRAM_AREA,SERVICE_USER_COUNT,CAPACITY_TYPE,CAPACITY_ACTUAL_BED,CAPACITY_FUNDING_BED,OCCUPIED_BEDS,UNOCCUPIED_BEDS,UNAVAILABLE_BEDS,CAPACITY_ACTUAL_ROOM,CAPACITY_FUNDING_ROOM,OCCUPIED_ROOMS,UNOCCUPIED_ROOMS,UNAVAILABLE_ROOMS,OCCUPANCY_RATE_BEDS,OCCUPANCY_RATE_ROOMS
2309262,2022-03-10,24,COSTI Immigrant Services,40,COSTI Reception Centre,1114.0,COSTI Uptown Hotel Program,55 Hallcrown Pl,M2J 4R1,North York,ON,15372,COSTI Uptown Hotel COVID-19 - Family Program,Families,Emergency,Motel/Hotel Shelter,COVID-19 Response,240,Room Based Capacity,,,,,,84.0,113.0,83.0,1.0,29.0,,98.81
2309263,2022-03-10,24,COSTI Immigrant Services,40,COSTI Reception Centre,1114.0,COSTI Uptown Hotel Program,55 Hallcrown Pl,M2J 4R1,North York,ON,13751,COSTI Uptown Hotel Family Program,Families,Emergency,Motel/Hotel Shelter,Temporary Refugee Response,387,Room Based Capacity,,,,,,115.0,107.0,115.0,0.0,0.0,,100.0
2309264,2022-03-10,24,COSTI Immigrant Services,40,COSTI Reception Centre,1114.0,COSTI Uptown Hotel Program,55 Hallcrown Pl,M2J 4R1,North York,ON,16535,COSTI Uptown Hotel Program - Refugee Singles,Mixed Adult,Emergency,Motel/Hotel Shelter,Temporary Refugee Response,13,Room Based Capacity,,,,,,13.0,13.0,13.0,0.0,0.0,,100.0
2309265,2022-03-10,14,Christie Ossington Neighbourhood Centre,22,Christie Ossington Men's Hostel,1160.0,CONC Etobicoke Hotel Program,445 Rexdale Blvd,M9W 6P8,Etobicoke,ON,16111,CONC Etobicoke Hotel Program - Mixed Adult,Mixed Adult,Emergency,Motel/Hotel Shelter,COVID-19 Response,153,Room Based Capacity,,,,,,148.0,155.0,148.0,0.0,7.0,,100.0
2309266,2022-03-10,14,Christie Ossington Neighbourhood Centre,22,Christie Ossington Men's Hostel,1172.0,CONC West End Hotel Program,14 Roncesvalles Ave,M6R 2K3,Toronto,ON,15711,CONC Men's Hotel Program,Men,Emergency,Motel/Hotel Shelter,COVID-19 Response,39,Room Based Capacity,,,,,,39.0,40.0,39.0,0.0,1.0,,100.0
2309267,2022-03-10,14,Christie Ossington Neighbourhood Centre,22,Christie Ossington Men's Hostel,1029.0,CONC Men's Shelter Lansdowne Ave,973 Lansdowne Ave,M6H 3Z5,Toronto,ON,12011,Christie Ossington Men's Hostel,Men,Emergency,Shelter,Base Shelter and Overnight Services System,33,Bed Based Capacity,33.0,33.0,33.0,0.0,0.0,,,,,,100.0,
2309268,2022-03-10,14,Christie Ossington Neighbourhood Centre,22,Christie Ossington Men's Hostel,1102.0,CONC Men's Shelter Bloor St W,850 Bloor St W,M6G 1M2,Toronto,ON,13611,Christie Ossington Men's Hostel South,Men,Emergency,Shelter,Base Shelter and Overnight Services System,15,Bed Based Capacity,15.0,15.0,15.0,0.0,0.0,,,,,,100.0,
2309269,2022-03-10,23,"Christie Refugee Welcome Centre, Inc.",39,Christie Refugee Welcome Centre,1052.0,Christie Refugee Welcome Centre,43 Christie St,M6G 3B1,Toronto,ON,12233,Christie Refugee Welcome Centre - Settlement and Support,Families,Emergency,Shelter,Base Shelter and Overnight Services System,61,Room Based Capacity,,,,,,24.0,30.0,24.0,0.0,6.0,,100.0
2309270,2022-03-10,1,City of Toronto,53,Birkdale Residence,1070.0,SSHA Birkdale Residence,1229 Ellesmere Rd,M1P 4V8,Toronto,ON,12351,Birkdale Residence - Bedded Program,Families,Emergency,Shelter,Base Shelter and Overnight Services System,221,Room Based Capacity,,,,,,65.0,65.0,64.0,1.0,0.0,,98.46
2309271,2022-03-10,1,City of Toronto,53,Birkdale Residence,1103.0,SSHA North York West Hotel Program,1677 Wilson Ave,M3L 1A5,North York,ON,16671,SSHA North York West Hotel - North - Mixed Adult,Mixed Adult,Emergency,Motel/Hotel Shelter,COVID-19 Response,80,Room Based Capacity,,,,,,82.0,83.0,80.0,2.0,1.0,,97.56
2309272,2022-03-10,1,City of Toronto,53,Birkdale Residence,1103.0,SSHA North York West Hotel Program,1677 Wilson Ave,M3L 1A5,North York,ON,16691,SSHA North York West Hotel - North Ã¢ÂÂ Co-ed,Families,Emergency,Motel/Hotel Shelter,COVID-19 Response,18,Room Based Capacity,,,,,,11.0,12.0,9.0,2.0,1.0,,81.82
2309273,2022-03-10,1,City of Toronto,53,Birkdale Residence,1103.0,SSHA North York West Hotel Program,1677 Wilson Ave,M3L 1A5,North York,ON,16311,SSHA North York West Hotel Program - Couples,Families,Emergency,Motel/Hotel Shelter,COVID-19 Response,24,Room Based Capacity,,,,,,12.0,14.0,12.0,0.0,2.0,,100.0
2309274,2022-03-10,1,City of Toronto,53,Birkdale Residence,1103.0,SSHA North York West Hotel Program,1677 Wilson Ave,M3L 1A5,North York,ON,16271,SSHA North York West Hotel Program - Mixed Adult,Mixed Adult,Emergency,Motel/Hotel Shelter,COVID-19 Response,77,Room Based Capacity,,,,,,77.0,77.0,77.0,0.0,0.0,,100.0
2309275,2022-03-10,1,City of Toronto,60,Downsview Dells,1009.0,SSHA Downsview Dells,1651 Sheppard Ave W,M3M 2X4,Toronto,ON,11815,Downsview Dells Bedded Program,Men,Transitional,Shelter,Base Shelter and Overnight Services System,9,Bed Based Capacity,12.0,12.0,9.0,3.0,0.0,,,,,,75.0,
2309276,2022-03-10,1,City of Toronto,83,Expansion  Sites,1181.0,SSHA Roehampton Hotel Program,808 Mt Pleasant Rd,M4P 2L2,Toronto,ON,15991,Roehampton Residence,Mixed Adult,Emergency,Motel/Hotel Shelter,COVID-19 Response,140,Room Based Capacity,,,,,,73.0,86.0,73.0,0.0,13.0,,100.0
2309277,2022-03-10,1,City of Toronto,83,Expansion  Sites,1194.0,Scarborough Women's Shelter - Milner,20 Milner Business Ct,M1B 3M6,Scarborough,ON,16471,Scarborough Women's Shelter - Milner,Women,Emergency,Motel/Hotel Shelter,COVID-19 Response,100,Room Based Capacity,,,,,,100.0,100.0,100.0,0.0,0.0,,100.0
2309278,2022-03-10,1,City of Toronto,2,Family Residence,1065.0,SSHA Family Residence,4222 Kingston Rd,M1E 2M6,Toronto,ON,12311,Family Residence - Main Program,Families,Emergency,Shelter,Base Shelter and Overnight Services System,155,Room Based Capacity,,,,,,41.0,43.0,41.0,0.0,2.0,,100.0
2309279,2022-03-10,1,City of Toronto,2,Family Residence,1065.0,SSHA Family Residence,4222 Kingston Rd,M1E 2M6,Toronto,ON,16232,Family Residence - Main Site - Winter Program,Families,Emergency,Shelter,COVID-19 Response,1,Bed Based Capacity,2.0,8.0,1.0,1.0,6.0,,,,,,50.0,
2309280,2022-03-10,1,City of Toronto,2,Family Residence,1066.0,SSHA Scarborough Hotel Program 3,4674 Kingston Rd,M1E 2P9,Toronto,ON,12392,SSHA Scarborough Hotel 3 - Family Program,Families,Emergency,Motel/Hotel Shelter,Base Shelter and Overnight Services System,74,Room Based Capacity,,,,,,23.0,40.0,23.0,0.0,17.0,,100.0
